name
Galneryus
Stratovarius
DragonForce
Dragon Guardian
摩天楼オペラ
Jiluka
Archspire
Graupel
Chunk! No Captain Chunk!
Blind Guardian
Helloween
Nightwish
Children of Bodom
Epica
Sonata Arctica
Wintersun
Ensiferum
Amon Amarth
Cattle Decapitation
Necrophagist
Obscura
Spawn of Possession
Veil of Maya
Periphery
Tesseract
Meshuggah
Animals as Leaders
Polyphia
Trivium
Killswitch Engage
Dream Theater
Symphony X
Opeth
Haken
Leprous
Riverside
Pain of Salvation
Fates Warning
Queensryche
Porcupine Tree
Rhapsody of Fire
Sabaton
Powerwolf
Freedom Call
Edguy
Gamma Ray
Kamelot
Avantasia
Masterplan
Hammerfall
Primal Fear
Battle Beast
Gloryhammer
Iron Savior
Firewind
Orden Ogan
Wind Rose
Unleash the Archers
Twilight Force
Angra
Almah
Hibria
Crystal Viper
Nocturnal Rites
Therion
Within Temptation
Evanescence
Delain
Xandria
Tarja
ReVamp
Amberian Dawn
After Forever
Leaves' Eyes
Lacuna Coil
Serenity
Haggard
Judas Priest
Iron Maiden
Black Sabbath
Dio
Rainbow
Saxon
Accept
Motörhead
Manowar
Grave Digger
W.A.S.P.
Running Wild
Axel Rudi Pell
Metallica
Megadeth
Slayer
Anthrax
Testament
Death Angel
Exodus
Kreator
Overkill
Destruction
Sodom
Coroner
Flotsam and Jetsam
Warbringer
Municipal Waste
Havok
Vektor
Power Trip
Pantera
Lamb of God
Sepultura
Machine Head
Soulfly
Dark Tranquillity
In Flames
At the Gates
Soilwork
Hypocrisy
Be'lakor
Insomnium
Kalmah
Norther
Amorphis
Carcass
Arch Enemy
Decapitated
Scar Symmetry
Edge of Sanity
Omnium Gatherum
Wolfheart
Cannibal Corpse
Death
Morbid Angel
Deicide
Obituary
Suffocation
Gorguts
Nile
Cryptopsy
Immolation
Dying Fetus
Aborted
Bloodbath
Beyond Creation
Rings of Saturn
Beneath the Massacre
Intervals
Vildhjarta
SikTh
Monuments
After the Burial
Volumes
Entheos
Unprocessed
Northlane
Slipknot
System of a Down
Korn
Deftones
Avenged Sevenfold
Bullet for My Valentine
Parkway Drive
As I Lay Dying
Shadows Fall
All That Remains
Unearth
The Devil Wears Prada
Converge
The Dillinger Escape Plan
Ion Dissonance
Mastodon
Tool
Baroness
Pelican
The Ocean
YOB
Pallbearer
Khemmis
Electric Wizard
Candlemass
Paradise Lost
My Dying Bride
Anathema
Katatonia
Dimmu Borgir
Emperor
Mayhem
Darkthrone
Gorgoroth
Immortal
Marduk
Watain
Mgla
Agalloch
Deafheaven
Batushka
Wolves in the Throne Room
Rotting Christ
Behemoth
Primordial
Moonsorrow
Finntroll
Eluveitie
Arkona
Månegarm
Tyr
Falkenbach
Equilibrium
Skálmöld
Alestorm
Crystal Lake
BABYMETAL
Crossfaith
Maximum the Hormone
NOISEMAKER
Sigh
Napalm Death
Brutal Truth
Pig Destroyer
Misery Index
Exhumed
Wormrot
Rotten Sound
Cult of Luna
Neurosis
Isis
Russian Circles
Amenra
Oathbreaker
Alcest
Krallice
Inquisition
Belphegor
Vader
Possessed
Autopsy
Pestilence
Bolt Thrower
Asphyx
Grave
Unleashed
Dismember
Entombed
Ahab
Shape of Despair
Skepticism
Evoken
Esoteric
Mournful Congregation
Sunn O)))
Boris
Sleep
High on Fire
Crowbar
Eyehategod
Acid Bath
Orange Goblin
Pentagram
Saint Vitus
Cathedral
Trouble
Down
Voivod
Strapping Young Lad
Devin Townsend
Evergrey
Threshold
Vanden Plas
Shadow Gallery
Redemption
Soen
Caligula's Horse
Plini
Architects
While She Sleeps
Spiritbox
Jinjer
Code Orange
ERRA
Beartooth
August Burns Red
Wage War
Counterparts
Knocked Loose
Hatebreed
Terror
Ringworm
Coalesce
Helmet
Faith No More
Mr. Bungle
Gojira
Septicflesh
Fleshgod Apocalypse
Carach Angren
Cradle of Filth
Moonspell
Lacrimosa
Tristania
Sirenia
Pendragon
Devin Townsend Project
Opeth (Death)
Cynic
Atheist
Pestilence (tech death)
Revocation
Havok (thrash)
Wretched
Beneath the Massacre
Born of Osiris
Whitechapel
Suicide Silence
Thy Art Is Murder
Fit for an Autopsy
Chelsea Grin
Carnifex
Suffokate
Abominable Putridity
Ingested
Defeated Sanity
Pyrexia
Blasphemer
Hour of Penance
Psycroptic
Decrepit Birth
Origin
Gridlink
Discordance Axis
Full of Hell
Primitive Man
